state_name,city_name
Distrito Capital,Libertador
Amazonas,Atabapo
Amazonas,Atures
Amazonas,Autana
Amazonas,Manapiare
Amazonas,Maroa
Amazonas,Rio Negro
Anzoátegui,Anaco
Anzoátegui,Aragua
Anzoátegui,Guanta
Anzoátegui,Independencia
Anzoátegui,Libertad
Anzoátegui,McGregor
Anzoátegui,Miranda
Anzoátegui,Monagas
Anzoátegui,Peñalver
Anzoátegui,Píritu
Anzoátegui,San Juan de Capistrano
Anzoátegui,Santa Ana
Anzoátegui,Sir Arthur McGregor
Anzoátegui,Sotillo
Apure,Achaguas
Apure,Biruaca
Apure,Muñoz
Apure,Páez
Apure,Pedro Camejo
Apure,Rómulo Gallegos
Apure,San Fernando
Aragua,Bolívar
Aragua,Camatagua
Aragua,Girardot
Aragua,José Ángel Lamas
Aragua,José Félix Ribas
Aragua,José Rafael Revenga
Aragua,Libertador
Aragua,Mario Briceño Iragorry
Aragua,San Casimiro
Aragua,San Sebastián
Aragua,Santiago Mariño
Aragua,Santos Michelena
Aragua,Sucre
Aragua,Tovar
Aragua,Urdaneta
Aragua,Zamora
